run_id,campaign,model,method,seed,steps,regime,math500,aime24,olympiadbench,minerva_math,gsm8k,kk_hard,bbh_logical_deduction,bbh_tracking,zebra_logic_mc,gpqa_diamond,mmlu_pro_chemistry,mmlu_pro_physics
J2__noise20_difffilter_s2,constrained,Qwen2.5-7B-Instruct,difffilter,2,300,noise20_20pct_label_noise,85.2,10.0,39.0,34.6,92.3,23.0,74.26666666666667,85.73333333333333,34.2,34.343434343434346,57.0,55.0
J2__noise20_difffilter_s3,constrained,Qwen2.5-7B-Instruct,difffilter,3,300,noise20_20pct_label_noise,85.8,6.7,39.1,37.9,92.3,32.0,78.4,87.06666666666666,35.0,32.323232323232325,57.4,61.0
J2__noise20_maxvar_s1,constrained,Qwen2.5-7B-Instruct,maxvar,1,300,noise20_20pct_label_noise,85.4,13.3,40.0,35.3,92.2,25.5,72.93333333333334,81.46666666666667,35.8,38.888888888888886,56.2,60.0
J2__noise20_maxvar_s2,constrained,Qwen2.5-7B-Instruct,maxvar,2,300,noise20_20pct_label_noise,87.6,10.0,42.2,33.1,92.8,28.5,74.8,84.4,33.8,32.82828282828283,57.6,59.8
J2__noise20_maxvar_s3,constrained,Qwen2.5-7B-Instruct,maxvar,3,300,noise20_20pct_label_noise,85.0,10.0,41.5,35.3,92.5,22.0,73.2,84.8,30.6,31.818181818181817,28.6,36.8
J2__noise20_topk_s1,constrained,Qwen2.5-7B-Instruct,topk,1,300,noise20_20pct_label_noise,86.4,13.3,38.8,34.6,92.7,14.0,74.26666666666667,84.26666666666667,32.2,35.35353535353536,56.8,60.0
J2__noise20_topk_s2,constrained,Qwen2.5-7B-Instruct,topk,2,300,noise20_20pct_label_noise,86.6,10.0,38.8,33.8,92.3,30.5,74.4,79.2,39.2,32.323232323232325,59.2,58.4
J2__noise20_topk_s3,constrained,Qwen2.5-7B-Instruct,topk,3,300,noise20_20pct_label_noise,85.0,13.3,37.3,34.6,91.8,24.5,72.8,86.8,40.2,32.82828282828283,58.2,62.6
J1__sub25_baseline_s1,constrained,Qwen2.5-7B-Instruct,baseline,1,300,sub25_25pct_data_subset,86.8,16.7,40.1,36.0,92.9,18.0,80.4,87.06666666666666,28.4,36.86868686868687,59.4,61.2
J1__sub25_baseline_s2,constrained,Qwen2.5-7B-Instruct,baseline,2,300,sub25_25pct_data_subset,85.0,13.3,37.9,36.8,92.5,18.5,75.06666666666666,86.53333333333333,25.0,38.888888888888886,58.0,60.8
J1__sub25_baseline_s3,constrained,Qwen2.5-7B-Instruct,baseline,3,300,sub25_25pct_data_subset,85.2,16.7,40.6,34.6,92.2,25.5,76.53333333333333,83.46666666666667,34.0,37.37373737373738,57.6,61.8
J1__sub25_difffilter_s1,constrained,Qwen2.5-7B-Instruct,difffilter,1,300,sub25_25pct_data_subset,86.2,13.3,37.6,36.4,92.9,37.0,76.26666666666667,84.66666666666667,37.4,38.888888888888886,57.6,62.0
